lon	lat	plotsize	species_richness	aus_state_info	elevation	hfp	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	species_list
13173552	-3480329	10000	24	8	36	3.9215	21.8833	14.5667	45.8071	636.0436	37.9	6.1	31.8	17.4167	28.85	29.55	13.8667	114	13	7	16.9882	33	24	26	27	Abutilon halophilum, Aristida anthoxanthoides, Astrebla pectinata, Atriplex angulata, Atriplex holocarpa, Atriplex incrassata, Atriplex vesicaria, Dactyloctenium radulans, Dichanthium sericeum, Dissocarpus fontinalis, Enneapogon avenaceus, Eragrostis setifolia, Iseilema vaginiflorum, Leiocarpa websteri, Maireana aphylla, Osteocarpum dipterocarpum, Rhagodia spinescens, Sclerolaena, Sclerolaena divaricata, Sclerolaena parallelicuspis, Sporobolus actinocladus, Streptoglossa adscendens, Trianthema triquetra, Tripogon loliiformis
14552408	-3070888	10000	21	7	373	5.2002	20.0292	14.5417	54.2599	459.8392	32	5.2	26.8	25.0667	13.7667	25.0667	13.7667	656	91	23	48.1925	270	78	270	78	Acacia cambagei, Acacia harpophylla, Acacia tephrina, Alectryon oleifolius, Apophyllum anomalum, Atalaya hemiglauca, Chenopodium desertorum, Dipteracanthus australasicus, Enchylaena tomentosa, Eremophila mitchellii, Lysiana linearifolia, Polystachya moreauae, Salsola kali, Santalum lanceolatum, Sclerolaena calcarata, Senna artemisioides, Senna artemisioides, Senna phyllodinea, Sida fibulifera, Sida trichopoda, Solanum esuriale
13150974	-3126225	10000	25	6	138	0	22.6333	15.6	46.4286	666.822	38.8	5.2	33.6	30.4333	16.0167	30.4333	14.0833	128	21	2	45.9894	50	13	50	20	Acacia dictyophleba, Acacia ligulata, Acacia murrayana, Calotis erinacea, Crotalaria eremaea, Dicrastylis costelloi, Eragrostis eriopoda, Eremophila macdonnellii, Eremophila willsii, Euphorbia, Goodenia cycloptera, Grevillea stenobotrya, Hibiscus krichauffianus, Indigofera psammophila, Monachather paradoxus, Newcastelia spodiotricha, Ptilotus latifolius, Ptilotus obovatus, Rhagodia spinescens, Scaevola depauperata, Senna pleurocarpa, Sida, Sida ammophila, Triodia basedowii, Zygochloa paradoxa
12908050	-3201019	10000	19	6	455	6.1402	20.9	14.2167	44.8475	640.3905	36.5	4.8	31.7	27.6833	14.6667	28.4667	12.7333	214	29	10	33.7213	80	33	76	38	Acacia aptaneura, Acacia tetragonophylla, Aristida contorta, Chloris virgata, Digitaria brownii, Einadia nutans, Enchylaena tomentosa, Enneapogon polyphyllus, Enteropogon acicularis, Eragrostis setifolia, Eremophila freelingii, Fimbristylis dichotoma, Hakea lorea, Maireana aphylla, Malvastrum americanum, Rhagodia eremaea, Sclerolaena costata, Sclerolaena cuneata, Tripogon loliiformis
13614735	-2218413	10000	20	7	3	8.8415	27.225	11.6167	55.0553	313.2926	36.2	15.1	21.1	29.4333	24.0333	30.3167	22.7333	887	240	1	124.4285	632	7	434	10	Cathormion umbellatum, Chrysopogon elongatus, Dichanthium fecundum, Echinochloa colona, Ectrosia scabrida, Eragrostis cumingii, Eragrostis fallax, Eragrostis parviflora, Eriachne glauca, Eriochloa procera, Eucalyptus microtheca, Excoecaria parvifolia, Fimbristylis littoralis, Hygrophila ringens, Melaleuca, Melaleuca citrolens, Melochia corchorifolia, Panicum mindanaense, Paspalidium distans, Passiflora foetida
13676071	-3777821	10000	2	5	171	9.1679	19.3917	14.15	46.3934	616.0388	35.1	4.6	30.5	26.8667	11.6333	26.8667	11.6333	257	37	14	28.1146	86	49	86	49	Atriplex limbata, Vittadinia
12965209	-1787419	10000	17	6	126	0.265	27.3167	13.25	57.8603	301.2424	37.8	14.9	22.9	29.1833	23	30.4833	23	876	218	0	114.9263	589	3	379	3	Acacia shirleyi, Aristida holathera, Carissa spinarum, Drosera petiolaris, Eragrostis schultzii, Eriachne obtusa, Eucalyptus pruinosa, Eulalia contorta, Melaleuca stenostachya, Melaleuca viridiflora, Melinis repens, Petalostigma banksii, Rhynchospora longisetis, Schizachyrium fragile, Sorghum plumosum, Tephrosia, Triodia bitextura
12892149	-2774179	10000	22	6	555	0.2611	22.8417	15.8	49.375	592.7203	37.5	5.5	32	29.3167	17.05	29.3167	14.9	263	53	6	65.7174	131	19	131	23	Abutilon fraseri, Acacia aneura, Acacia aptaneura, Aristida contorta, Aristida holathera, Aristida inaequiglumis, Digitaria brownii, Enneapogon avenaceus, Enneapogon robustissimus, Eragrostis eriopoda, Eremophila latrobei, Eriachne helmsii, Maireana villosa, Panicum effusum, Rhagodia eremaea, Sclerolaena cornishiana, Sclerolaena costata, Sida platycalyx, Solanum centrale, Solanum ellipticum, Triodia schinzii, Tripogon loliiformis
12917795	-1852489	10000	31	6	58	0.0152	27.5917	13.4333	56.6807	322.9962	38.3	14.6	23.7	29.4667	22.9833	30.95	22.9833	872	221	0	108.7026	552	2	253	2	Aristida holathera, Aristida pruinosa, Bauhinia cunninghamii, Bothriochloa bladhii, Carissa spinarum, Chrysopogon benthamianus, Dichanthium fecundum, Dolichandrone heterophylla, Eragrostis concinna, Eragrostis stagnalis, Eriachne glauca, Eriachne obtusa, Eucalyptus leucophloia, Eucalyptus microtheca, Eucalyptus pruinosa, Eulalia contorta, Hakea chordophyila, Helicteres cana, Heteropogon contortus, Melaleuca stenostachya, Melaleuca viridiflora, Mnesithea formosa, Petalostigma banksii, Schizachyrium fragile, Sehima nervosum, Sorghum, Sorghum plumosum, Tephrosia leptoclada, Terminalia canescens, Terminalia platyptera, Themeda triandra
13683395	-2511391	10000	12	7	124	3.2501	26.0458	14.7917	54.3811	448.4796	38.1	10.9	27.2	30.5	21.55	30.6	19.8	556	149	3	111.7136	371	15	275	19	Aristida latifolia, Astrebla pectinata, Chrysopogon benthamianus, Desmodium campylocaulon, Dichanthium sericeum, Eulalia aurea, Iseilema fragile, Neptunia dimorphantha, Panicum decompositum, Polymeria longifolia, Rhynchosia minima, Vachellia farnesiana
