lon	lat	biome	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
148.754166666667	-21.2541666666667	1	21.6749992370605	9.65000057220459	48.25	377.404418945312	30.5	10.5	20	25.4333343505859	17.5	25.783332824707	16.5	1544	362	25	83.5421981811523	859	93	794	118
145.8375	-16.9791666666667	1	23.470832824707	7.44166612625122	52.7777709960938	244.609710693359	30	15.8999996185303	14.1000003814697	25.9166679382324	20.1166667938232	26.1333332061768	20.1166667938232	1969	500	22	95.7505187988281	1194	115	1026	115
145.720833333333	-17.7541666666667	1	20.2250003814697	8.01666641235352	49.485595703125	296.728363037109	27.8999996185303	11.6999998092651	16.2000007629395	22.3500003814697	18.5666675567627	23.4833335876465	16.216667175293	4020	652	82	65.5418319702148	1844	327	1227	623
146.095833333333	-18.7708333333333	1	23.7916660308838	10.25	53.3854179382324	316.434906005859	32.0999984741211	12.8999996185303	19.1999988555908	26.9166660308838	19.4500007629395	27.2166652679443	19.4500007629395	1946	527	21	94.3150100708008	1096	108	1086	108
145.4625	-16.2875	1	24.658332824707	7	54.2635688781738	219.801910400391	30.7999992370605	17.8999996185303	12.8999996185303	26.75	22.216667175293	26.9833335876465	21.6166667938232	1780	458	22	100.179573059082	1101	75	921	88
145.304166666667	-16.6541666666667	1	22.3291664123535	8.94166660308838	54.5223541259766	266.069519042969	30.2000007629395	13.8000001907349	16.4000015258789	24.7666664123535	21.1499996185303	25.1833324432373	18.7000007629395	1687	486	10	105.546455383301	1017	73	968	93
148.6625	-20.5458333333333	1	23.4750003814697	9.54999923706055	50.5290985107422	337.904632568359	31.7999992370605	12.8999996185303	18.8999996185303	27.0833320617676	19.716667175293	27.0833320617676	18.8166656494141	1144	242	21	81.3000869750977	628	70	628	78
145.2625	-16.0958333333333	1	23.2416667938232	7.46666669845581	53.3333320617676	241.649932861328	29.8999996185303	15.8999996185303	14	25.5666656494141	21.966667175293	25.8166656494141	19.9333343505859	2258	509	27	96.3728713989258	1339	104	1147	119
145.545833333333	-17.8541666666667	1	19.8125	9.07499980926514	51.2711868286133	315.53076171875	28	10.3000001907349	17.7000007629395	21.9500007629395	18.1833343505859	23.2333335876465	15.5166664123535	2132	408	33	76.195068359375	1115	124	859	188
149.429166666667	-21.6125	1	23	7.90000009536743	45.4022979736328	347.150726318359	30.7000007629395	13.3000001907349	17.4000015258789	26.5499992370605	19.1000003814697	26.783332824707	18.25	1125	202	14	73.9555130004883	574	72	524	91
150.545833333333	-22.8291666666667	1	21.7541675567627	9.90833377838135	49.2951889038086	368.963287353516	30.6000003814697	10.5	20.1000003814697	25.5833339691162	17.6666660308838	25.8166675567627	16.7666664123535	1192	188	26	62.780387878418	558	107	514	118
144.970833333333	-16.1791666666667	1	19.2250003814697	8.68333339691162	55.3078536987305	255.854187011719	26.8999996185303	11.1999998092651	15.6999998092651	21.6666660308838	16.3500003814697	21.966667175293	15.716667175293	1025	284	5	120.582061767578	722	16	689	22
146.445833333333	-19.2375	1	22.8374996185303	7.80833387374878	46.7564888000488	321.905700683594	30.2000007629395	13.5	16.7000007629395	26.1333332061768	18.3999996185303	26.2666664123535	18.3999996185303	1452	342	19	85.3404235839844	791	75	743	75
148.670833333333	-21.0291666666667	1	19.4458332061768	7.90833330154419	45.1904754638672	357.506866455078	27.6000003814697	10.1000003814697	17.5	23.1833343505859	17.3999996185303	23.3833332061768	14.6000003814697	1936	411	30	86.6048812866211	1136	136	978	185
145.3875	-15.9625	1	23.720832824707	6.80833339691162	52.7777786254883	220.983947753906	29.8999996185303	17	12.8999996185303	25.7999992370605	21.2333335876465	26.0666656494141	20.6666660308838	1420	325	13	96.2804565429688	884	56	777	82
148.570833333333	-21.3541666666667	1	18.3999996185303	8.90000057220459	46.5968627929688	383.174530029297	27.3999996185303	8.30000019073486	19.0999984741211	22.3333320617676	14.1833333969116	22.6000003814697	13.1999998092651	1207	279	33	70.9702529907227	582	103	572	109
145.370833333333	-16.5208333333333	1	23.1124992370605	8.30833339691162	55.0220756530762	251.469543457031	30.1000003814697	15	15.1000003814697	25.533332824707	21.9333324432373	25.7999992370605	19.6499996185303	3252	714	91	76.1114196777344	1662	309	1264	513
148.745833333333	-20.9958333333333	1	22.3999996185303	8.86666679382324	47.9279289245605	353.662658691406	30.3999996185303	11.8999996185303	18.5	25.966667175293	18.4500007629395	26.2000007629395	17.5166664123535	1719	413	24	87.6330490112305	942	94	932	108
149.320833333333	-21.9875	1	20.9791660308838	8.92500019073486	46.4843711853027	377.915710449219	29.6000003814697	10.3999996185303	19.2000007629395	25.1333332061768	16.783332824707	25.1333332061768	15.8333330154419	1063	215	26	77.7405090332031	567	96	567	97
146.470833333333	-19.2208333333333	1	23.3791675567627	8.30833339691162	48.0250511169434	322.803436279297	30.7999992370605	13.5	17.2999992370605	26.6666660308838	18.9333343505859	26.8333320617676	18.9333343505859	1401	314	20	86.7627029418945	755	77	748	77
148.920833333333	-21.2125	1	22.658332824707	10.4833335876465	50.6441230773926	364.304016113281	31.3999996185303	10.6999998092651	20.7000007629395	26.1333332061768	18.6833343505859	26.5	17.5833339691162	1415	346	25	84.7614059448242	774	90	695	115
145.745833333333	-17.2208333333333	1	23.4791660308838	7.67500019073486	51.1666679382324	269.498321533203	30.3999996185303	15.3999996185303	15	26.1499996185303	20.4833335876465	26.3833332061768	19.783332824707	1705	480	19	108.967262268066	1141	79	919	90
